"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 30 10:08:27 GMT 2025","Wed Apr 30 10:08:28 GMT 2025","393","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Wed Apr 30 10:08:25 GMT 2025","Wed Apr 30 10:08:25 GMT 2025","432","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=simici, firstName=Ivan, lastName=Simic, email=email.com, password=123qwerty, phone=1234567, userStatus=0)",""
"passed","Wed Apr 30 10:08:25 GMT 2025","Wed Apr 30 10:08:26 GMT 2025","402","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=simici2, firstName=Ivan2, lastName=Simic2, email=email2.com, password=123qwerty, phone=12345675, userStatus=0)",""
"passed","Wed Apr 30 10:08:30 GMT 2025","Wed Apr 30 10:08:32 GMT 2025","1604","","ui.SimpleUiTests","","ui.SimpleUiTests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Wed Apr 30 10:08:26 GMT 2025","Wed Apr 30 10:08:26 GMT 2025","404","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"broken","Wed Apr 30 10:08:29 GMT 2025","Wed Apr 30 10:08:30 GMT 2025","1589","","ui.SimpleUiTests","","ui.SimpleUiTests","loginTest","loginTest()",""
"passed","Wed Apr 30 10:08:28 GMT 2025","Wed Apr 30 10:08:29 GMT 2025","375","","apiTest.PetUserTests","","apiTest.PetUserTests","createUser","createUser()",""
"passed","Wed Apr 30 10:08:28 GMT 2025","Wed Apr 30 10:08:28 GMT 2025","389","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Wed Apr 30 10:08:26 GMT 2025","Wed Apr 30 10:08:27 GMT 2025","1123","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Wed Apr 30 10:08:22 GMT 2025","Wed Apr 30 10:08:25 GMT 2025","2428","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"passed","Wed Apr 30 10:08:28 GMT 2025","Wed Apr 30 10:08:28 GMT 2025","386","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"passed","Wed Apr 30 10:08:32 GMT 2025","Wed Apr 30 10:08:32 GMT 2025","535","","ui.SimpleUiTests","","ui.SimpleUiTests","openSiteTest","openSiteTest()",""
