"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 30 08:39:21 GMT 2025","Wed Apr 30 08:39:22 GMT 2025","412","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=simici, firstName=Ivan, lastName=Simic, email=email.com, password=123qwerty, phone=1234567, userStatus=0)",""
"passed","Wed Apr 30 08:39:24 GMT 2025","Wed Apr 30 08:39:25 GMT 2025","385","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"broken","Wed Apr 30 08:39:31 GMT 2025","Wed Apr 30 08:39:31 GMT 2025","311","","ui.SimpleUiTests","","ui.SimpleUiTests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Wed Apr 30 08:39:23 GMT 2025","Wed Apr 30 08:39:24 GMT 2025","1121","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Wed Apr 30 08:39:25 GMT 2025","Wed Apr 30 08:39:25 GMT 2025","370","","apiTest.PetUserTests","","apiTest.PetUserTests","createUser","createUser()",""
"broken","Wed Apr 30 08:39:25 GMT 2025","Wed Apr 30 08:39:31 GMT 2025","5572","","ui.SimpleUiTests","","ui.SimpleUiTests","loginTest","loginTest()",""
"passed","Wed Apr 30 08:39:22 GMT 2025","Wed Apr 30 08:39:22 GMT 2025","392","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=simici2, firstName=Ivan2, lastName=Simic2, email=email2.com, password=123qwerty, phone=12345675, userStatus=0)",""
"passed","Wed Apr 30 08:39:22 GMT 2025","Wed Apr 30 08:39:23 GMT 2025","395","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"passed","Wed Apr 30 08:39:24 GMT 2025","Wed Apr 30 08:39:24 GMT 2025","388","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Wed Apr 30 08:39:25 GMT 2025","Wed Apr 30 08:39:25 GMT 2025","381","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"broken","Wed Apr 30 08:39:31 GMT 2025","Wed Apr 30 08:39:32 GMT 2025","278","","ui.SimpleUiTests","","ui.SimpleUiTests","openSiteTest","openSiteTest()",""
"passed","Wed Apr 30 08:39:19 GMT 2025","Wed Apr 30 08:39:21 GMT 2025","2329","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
