"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 01 10:47:48 GMT 2025","Thu May 01 10:47:51 GMT 2025","3033","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"passed","Thu May 01 10:47:52 GMT 2025","Thu May 01 10:47:52 GMT 2025","48","","apiTest.PetUserTests","","apiTest.PetUserTests","createUser","createUser()",""
"passed","Thu May 01 10:47:52 GMT 2025","Thu May 01 10:47:52 GMT 2025","67","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"passed","Thu May 01 10:47:55 GMT 2025","Thu May 01 10:47:56 GMT 2025","524","","ui.SimpleUiTests","","ui.SimpleUiTests","openSiteTest","openSiteTest()",""
"passed","Thu May 01 10:47:51 GMT 2025","Thu May 01 10:47:52 GMT 2025","845","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Thu May 01 10:47:51 GMT 2025","Thu May 01 10:47:51 GMT 2025","70","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=simici2, firstName=Ivan2, lastName=Simic2, email=email2.com, password=123qwerty, phone=12345675, userStatus=0)",""
"passed","Thu May 01 10:47:52 GMT 2025","Thu May 01 10:47:52 GMT 2025","64","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Thu May 01 10:47:51 GMT 2025","Thu May 01 10:47:51 GMT 2025","71","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"broken","Thu May 01 10:47:52 GMT 2025","Thu May 01 10:47:54 GMT 2025","1662","","ui.SimpleUiTests","","ui.SimpleUiTests","loginTest","loginTest()",""
"passed","Thu May 01 10:47:51 GMT 2025","Thu May 01 10:47:51 GMT 2025","84","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=simici, firstName=Ivan, lastName=Simic, email=email.com, password=123qwerty, phone=1234567, userStatus=0)",""
"passed","Thu May 01 10:47:52 GMT 2025","Thu May 01 10:47:52 GMT 2025","66","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Thu May 01 10:47:54 GMT 2025","Thu May 01 10:47:55 GMT 2025","1163","","ui.SimpleUiTests","","ui.SimpleUiTests","openWebFormPageTest","openWebFormPageTest()",""
