"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 30 08:39:21 GMT 2025","Wed Apr 30 08:39:21 GMT 2025","259","","ui.SimpleUiTests","","ui.SimpleUiTests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Wed Apr 30 08:39:19 GMT 2025","Wed Apr 30 08:39:19 GMT 2025","67","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Wed Apr 30 08:39:19 GMT 2025","Wed Apr 30 08:39:19 GMT 2025","67","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"broken","Wed Apr 30 08:39:21 GMT 2025","Wed Apr 30 08:39:21 GMT 2025","229","","ui.SimpleUiTests","","ui.SimpleUiTests","openSiteTest","openSiteTest()",""
"passed","Wed Apr 30 08:39:18 GMT 2025","Wed Apr 30 08:39:18 GMT 2025","90","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=simici, firstName=Ivan, lastName=Simic, email=email.com, password=123qwerty, phone=1234567, userStatus=0)",""
"broken","Wed Apr 30 08:39:20 GMT 2025","Wed Apr 30 08:39:21 GMT 2025","1370","","ui.SimpleUiTests","","ui.SimpleUiTests","loginTest","loginTest()",""
"passed","Wed Apr 30 08:39:18 GMT 2025","Wed Apr 30 08:39:18 GMT 2025","86","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=simici2, firstName=Ivan2, lastName=Simic2, email=email2.com, password=123qwerty, phone=12345675, userStatus=0)",""
"passed","Wed Apr 30 08:39:19 GMT 2025","Wed Apr 30 08:39:19 GMT 2025","53","","apiTest.PetUserTests","","apiTest.PetUserTests","createUser","createUser()",""
"passed","Wed Apr 30 08:39:16 GMT 2025","Wed Apr 30 08:39:18 GMT 2025","2053","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"passed","Wed Apr 30 08:39:19 GMT 2025","Wed Apr 30 08:39:19 GMT 2025","728","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Wed Apr 30 08:39:19 GMT 2025","Wed Apr 30 08:39:19 GMT 2025","68","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Wed Apr 30 08:39:18 GMT 2025","Wed Apr 30 08:39:18 GMT 2025","77","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
