"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 30 09:45:45 GMT 2025","Wed Apr 30 09:45:45 GMT 2025","20","","ui.SimpleUiTests","","ui.SimpleUiTests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Wed Apr 30 09:45:44 GMT 2025","Wed Apr 30 09:45:44 GMT 2025","51","","apiTest.PetUserTests","","apiTest.PetUserTests","createUser","createUser()",""
"passed","Wed Apr 30 09:45:43 GMT 2025","Wed Apr 30 09:45:43 GMT 2025","84","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=simici, firstName=Ivan, lastName=Simic, email=email.com, password=123qwerty, phone=1234567, userStatus=0)",""
"passed","Wed Apr 30 09:45:44 GMT 2025","Wed Apr 30 09:45:44 GMT 2025","66","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"broken","Wed Apr 30 09:45:45 GMT 2025","Wed Apr 30 09:45:45 GMT 2025","17","","ui.SimpleUiTests","","ui.SimpleUiTests","openSiteTest","openSiteTest()",""
"passed","Wed Apr 30 09:45:41 GMT 2025","Wed Apr 30 09:45:43 GMT 2025","2034","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"broken","Wed Apr 30 09:45:44 GMT 2025","Wed Apr 30 09:45:45 GMT 2025","351","","ui.SimpleUiTests","","ui.SimpleUiTests","loginTest","loginTest()",""
"passed","Wed Apr 30 09:45:43 GMT 2025","Wed Apr 30 09:45:43 GMT 2025","77","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=simici2, firstName=Ivan2, lastName=Simic2, email=email2.com, password=123qwerty, phone=12345675, userStatus=0)",""
"passed","Wed Apr 30 09:45:44 GMT 2025","Wed Apr 30 09:45:44 GMT 2025","85","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Wed Apr 30 09:45:43 GMT 2025","Wed Apr 30 09:45:43 GMT 2025","73","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"passed","Wed Apr 30 09:45:43 GMT 2025","Wed Apr 30 09:45:44 GMT 2025","772","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Wed Apr 30 09:45:44 GMT 2025","Wed Apr 30 09:45:44 GMT 2025","82","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
