"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 01 10:36:32 GMT 2025","Thu May 01 10:36:32 GMT 2025","127","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=simici2, firstName=Ivan2, lastName=Simic2, email=email2.com, password=123qwerty, phone=12345675, userStatus=0)",""
"passed","Thu May 01 10:36:32 GMT 2025","Thu May 01 10:36:32 GMT 2025","128","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"passed","Thu May 01 10:36:33 GMT 2025","Thu May 01 10:36:33 GMT 2025","120","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Thu May 01 10:36:33 GMT 2025","Thu May 01 10:36:33 GMT 2025","115","","apiTest.PetUserTests","","apiTest.PetUserTests","createUser","createUser()",""
"passed","Thu May 01 10:36:33 GMT 2025","Thu May 01 10:36:33 GMT 2025","122","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"passed","Thu May 01 10:36:32 GMT 2025","Thu May 01 10:36:33 GMT 2025","902","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Thu May 01 10:36:35 GMT 2025","Thu May 01 10:36:36 GMT 2025","1311","","ui.SimpleUiTests","","ui.SimpleUiTests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Thu May 01 10:36:28 GMT 2025","Thu May 01 10:36:31 GMT 2025","3577","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"passed","Thu May 01 10:36:36 GMT 2025","Thu May 01 10:36:37 GMT 2025","539","","ui.SimpleUiTests","","ui.SimpleUiTests","openSiteTest","openSiteTest()",""
"broken","Thu May 01 10:36:33 GMT 2025","Thu May 01 10:36:35 GMT 2025","1760","","ui.SimpleUiTests","","ui.SimpleUiTests","loginTest","loginTest()",""
"passed","Thu May 01 10:36:33 GMT 2025","Thu May 01 10:36:33 GMT 2025","123","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Thu May 01 10:36:31 GMT 2025","Thu May 01 10:36:32 GMT 2025","137","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=simici, firstName=Ivan, lastName=Simic, email=email.com, password=123qwerty, phone=1234567, userStatus=0)",""
